"zhuyin","wadegiles","mps2","yale","tongyong","hanyu","gwoyeu1","gwoyeu2","gwoyeu3","gwoyeu4"
"ㄚ","a","a","a","a","a","a","ar","aa","ah"
"ㄞ","ai","ai","ai","ai","ai","ai","air","ae","ay"
"ㄢ","an","an","an","an","an","an","arn","aan","ann"
"ㄤ","ang","ang","ang","ang","ang","ang","arng","aang","anq"
"ㄠ","ao","au","au","ao","ao","au","aur","ao","aw"
"ㄅㄚ","pa","ba","ba","ba","ba","ba","bar","baa","bah"
"ㄅㄞ","pai","bai","bai","bai","bai","bai","bair","bae","bay"
"ㄅㄢ","pan","ban","ban","ban","ban","ban","barn","baan","bann"
"ㄅㄤ","pang","bang","bang","bang","bang","bang","barng","baang","banq"
"ㄅㄠ","pao","bau","bau","bao","bao","bau","baur","bao","baw"
"ㄅㄟ","pei","bei","bei","bei","bei","bei","beir","beei","bey"
"ㄅㄣ","pen","ben","ben","ben","ben","ben","bern","been","benn"
"ㄅㄥ","peng","beng","beng","beng","beng","beng","berng","beeng","benq"
"ㄅㄧ","pi","bi","bi","bi","bi","bi","byi","bii","bih"
"ㄅㄧㄢ","pien","bian","byan","bian","bian","bian","byan","bean","biann"
"ㄅㄧㄠ","piao","biau","byau","biao","biao","biau","byau","beau","biaw"
"ㄅㄧㄝ","pieh","bie","bye","bie","bie","bie","bye","biee","bieh"
"ㄅㄧㄣ","pin","bin","bin","bin","bin","bin","byn","biin","binn"
"ㄅㄧㄥ","ping","bing","bing","bing","bing","bing","byng","biing","binq"
"ㄅㄛ","po","bo","bwo","bo","bo","bo","bor","boo","boh"
"ㄅㄨ","pu","bu","bu","bu","bu","bu","bwu","buu","buh"
"ㄘㄚ","ts`a","tsa","tsa","ca","ca","tsa","tsar","tsaa","tsah"
"ㄘㄞ","ts`ai","tsai","tsai","cai","cai","tsai","tsair","tsae","tsay"
"ㄘㄢ","ts`an","tsan","tsan","can","can","tsan","tsarn","tsaan","tsann"
"ㄘㄤ","ts`ang","tsang","tsang","cang","cang","tsang","tsarng","tsaang","tsanq"
"ㄘㄠ","ts`ao","tsau","tsau","cao","cao","tsau","tsaur","tsao","tsaw"
"ㄘㄜ","ts`e","tse","tse","ce","ce","tse","tser","tsee","tseh"
"ㄘㄣ","ts`en","tsen","tsen","cen","cen","tsen","tsern","tseen","tsenn"
"ㄘㄥ","ts`eng","tseng","tseng","ceng","ceng","tseng","tserng","tseeng","tsenq"
"ㄔㄚ","ch`a","cha","cha","cha","cha","cha","char","chaa","chah"
"ㄔㄞ","ch`ai","chai","chai","chai","chai","chai","chair","chae","chay"
"ㄔㄢ","ch`an","chan","chan","chan","chan","chan","charn","chaan","chann"
"ㄔㄤ","ch`ang","chang","chang","chang","chang","chang","charng","chaang","chanq"
"ㄔㄠ","ch`ao","chau","chau","chao","chao","chau","chaur","chao","chaw"
"ㄔㄜ","ch`e","che","che","che","che","che","cher","chee","cheh"
"ㄔㄣ","ch`en","chen","chen","chen","chen","chen","chern","cheen","chenn"
"ㄔㄥ","ch`eng","cheng","cheng","cheng","cheng","cheng","cherng","cheeng","chenq"
"ㄔ","ch`ih","chr","chr","chih","chi","chy","chyr","chyy","chyh"
"ㄔㄨㄥ","ch`ung","chung","chung","chong","chong","chong","chorng","choong","chonq"
"ㄔㄡ","ch`ou","chou","chou","chou","chou","chou","chour","choou","chow"
"ㄔㄨ","ch`u","chu","chu","chu","chu","chu","chwu","chuu","chuh"
"ㄔㄨㄚ","ch`ua","chua","chwa","chua","chua","chua","chuar","chuaa","chuah"
"ㄔㄨㄞ","ch`uai","chuai","chwai","chuai","chuai","chuai","chwai","choai","chuay"
"ㄔㄨㄢ","ch`uan","chuan","chwan","chuan","chuan","chuan","chwan","choan","chuann"
"ㄔㄨㄤ","ch`uang","chuang","chwang","chuang","chuang","chuang","chwang","choang","chuanq"
"ㄔㄨㄟ","ch`ui","chuei","chwei","chuei","chui","chuei","chwei","choei","chuey"
"ㄔㄨㄣ","ch`un","chuen","chwen","chun","chun","chuen","chwen","choen","chuenn"
"ㄔㄨㄛ","ch`o","chuo","chwo","chuo","chuo","chuo","chwo","chuoo","chuoh"
"ㄘ","tz`u","tsz","tsz","cih","ci","tsy","tsyr","tsyy","tsyh"
"ㄘㄨㄥ","ts`ung","tsung","tsung","cong","cong","tsong","tsorng","tsoong","tsonq"
"ㄘㄡ","ts`ou","tsou","tsou","cou","cou","tsou","tsour","tsoou","tsow"
"ㄘㄨ","ts`u","tsu","tsu","cu","cu","tsu","tswu","tsuu","tsuh"
"ㄘㄨㄢ","ts`uan","tsuan","tswan","cuan","cuan","tsuan","tswan","tsoan","tsuann"
"ㄘㄨㄟ","ts`ui","tsuei","tswei","cuei","cui","tsuei","tswei","tsoei","tsuey"
"ㄘㄨㄣ","ts`un","tsuen","tswen","cun","cun","tsuen","tswen","tsoen","tsuenn"
"ㄘㄨㄛ","ts`o","tsuo","tswo","cuo","cuo","tsuo","tswo","tsuoo","tsuoh"
"ㄉㄚ","ta","da","da","da","da","da","dar","daa","dah"
"ㄉㄞ","tai","dai","dai","dai","dai","dai","dair","dae","day"
"ㄉㄢ","tan","dan","dan","dan","dan","dan","darn","daan","dann"
"ㄉㄤ","tang","dang","dang","dang","dang","dang","darng","daang","danq"
"ㄉㄠ","tao","dau","dau","dao","dao","dau","daur","dao","daw"
"ㄉㄜ","te","de","de","de","de","de","der","dee","deh"
"ㄉㄟ","tei","dei","dei","dei","dei","dei","deir","deei","dey"
"ㄉㄣ","ten","den","den","den","den","den","dern","deen","denn"
"ㄉㄥ","teng","deng","deng","deng","deng","deng","derng","deeng","denq"
"ㄉㄧ","ti","di","di","di","di","di","dyi","dii","dih"
"ㄉㄧㄢ","tien","dian","dyan","dian","dian","dian","dyan","dean","diann"
"ㄉㄧㄤ","tiang","diang","dyang","diang","diang","diang","dyang","deang","dianq"
"ㄉㄧㄠ","tiao","diau","dyau","diao","diao","diau","dyau","deau","diaw"
"ㄉㄧㄝ","tieh","die","dye","die","die","die","dye","diee","dieh"
"ㄉㄧㄥ","ting","ding","ding","ding","ding","ding","dyng","diing","dinq"
"ㄉㄧㄡ","tiu","diou","dyou","diou","diu","diou","dyou","deou","diow"
"ㄉㄨㄥ","tung","dung","dung","dong","dong","dong","dorng","doong","donq"
"ㄉㄡ","tou","dou","dou","dou","dou","dou","dour","doou","dow"
"ㄉㄨ","tu","du","du","du","du","du","dwu","duu","duh"
"ㄉㄨㄢ","tuan","duan","dwan","duan","duan","duan","dwan","doan","duann"
"ㄉㄨㄟ","tui","duei","dwei","duei","dui","duei","dwei","doei","duey"
"ㄉㄨㄣ","tun","duen","dwen","dun","dun","duen","dwen","doen","duenn"
"ㄉㄨㄛ","to","duo","dwo","duo","duo","duo","dwo","duoo","duoh"
"ㄜ","e","e","e","e","e","e","er","ee","eh"
"ㄟ","ei","ei","ei","ei","ei","ei","eir","eei","ey"
"ㄣ","en","en","en","en","en","en","ern","een","enn"
"ㄦ","erh","er","er","er","er","el","erl","eel","ell"
"ㄈㄚ","fa","fa","fa","fa","fa","fa","far","faa","fah"
"ㄈㄢ","fan","fan","fan","fan","fan","fan","farn","faan","fann"
"ㄈㄤ","fang","fang","fang","fang","fang","fang","farng","faang","fanq"
"ㄈㄟ","fei","fei","fei","fei","fei","fei","feir","feei","fey"
"ㄈㄣ","fen","fen","fen","fen","fen","fen","fern","feen","fenn"
"ㄈㄥ","feng","feng","feng","fong","feng","feng","ferng","feeng","fenq"
"ㄈㄛ","fo","fo","fwo","fo","fo","fo","for","foo","foh"
"ㄈㄡ","fou","fou","fou","fou","fou","fou","four","foou","fow"
"ㄈㄨ","fu","fu","fu","fu","fu","fu","fwu","fuu","fuh"
"ㄍㄚ","ka","ga","ga","ga","ga","ga","gar","gaa","gah"
"ㄍㄞ","kai","gai","gai","gai","gai","gai","gair","gae","gay"
"ㄍㄢ","kan","gan","gan","gan","gan","gan","garn","gaan","gann"
"ㄍㄤ","kang","gang","gang","gang","gang","gang","garng","gaang","ganq"
"ㄍㄠ","kao","gau","gau","gao","gao","gau","gaur","gao","gaw"
"ㄍㄜ","ko","ge","ge","ge","ge","ge","ger","gee","geh"
"ㄍㄟ","kei","gei","gei","gei","gei","gei","geir","geei","gey"
"ㄍㄣ","ken","gen","gen","gen","gen","gen","gern","geen","genn"
"ㄍㄥ","keng","geng","geng","geng","geng","geng","gerng","geeng","genq"
"ㄍㄨㄥ","kung","gung","gung","gong","gong","gong","gorng","goong","gonq"
"ㄍㄡ","kou","gou","gou","gou","gou","gou","gour","goou","gow"
"ㄍㄨ","ku","gu","gu","gu","gu","gu","gwu","guu","guh"
"ㄍㄨㄚ","kua","gua","gwa","gua","gua","gua","gwa","goa","guah"
"ㄍㄨㄞ","kuai","guai","gwai","guai","guai","guai","gwai","goai","guay"
"ㄍㄨㄢ","kuan","guan","gwan","guan","guan","guan","gwan","goan","guann"
"ㄍㄨㄤ","kuang","guang","gwang","guang","guang","guang","gwang","goang","guanq"
"ㄍㄨㄟ","kuei","guei","gwei","guei","gui","guei","gwei","goei","guey"
"ㄍㄨㄣ","kun","guen","gwun","gun","gun","guen","gwen","goen","guenn"
"ㄍㄨㄛ","kuo","guo","gwo","guo","guo","guo","gwo","guoo","guoh"
"ㄏㄚ","ha","ha","ha","ha","ha","ha","har","haa","hah"
"ㄏㄞ","hai","hai","hai","hai","hai","hai","hair","hae","hay"
"ㄏㄢ","han","han","han","han","han","han","harn","haan","hann"
"ㄏㄤ","hang","hang","hang","hang","hang","hang","harng","haang","hanq"
"ㄏㄠ","hao","hau","hau","hao","hao","hau","haur","hao","haw"
"ㄏㄜ","ho","he","he","he","he","he","her","hee","heh"
"ㄏㄟ","hei","hei","hei","hei","hei","hei","heir","heei","hey"
"ㄏㄣ","hen","hen","hen","hen","hen","hen","hern","heen","henn"
"ㄏㄥ","heng","heng","heng","heng","heng","heng","herng","heeng","henq"
"ㄏㄨㄥ","hung","hung","hung","hong","hong","hong","horng","hoong","honq"
"ㄏㄡ","hou","hou","hou","hou","hou","hou","hour","hoou","how"
"ㄏㄨ","hu","hu","hu","hu","hu","hu","hwu","huu","huh"
"ㄏㄨㄚ","hua","hua","hwa","hua","hua","hua","hwa","hoa","huah"
"ㄏㄨㄞ","huai","huai","hwai","huai","huai","huai","hwai","hoai","huay"
"ㄏㄨㄢ","huan","huan","hwan","huan","huan","huan","hwan","hoan","huann"
"ㄏㄨㄤ","huang","huang","hwang","huang","huang","huang","hwang","hoang","huanq"
"ㄏㄨㄟ","hui","huei","hwei","huei","hui","huei","hwei","hoei","huey"
"ㄏㄨㄣ","hun","huen","hwen","hun","hun","huen","hwen","hoen","huenn"
"ㄏㄨㄛ","huo","huo","hwo","huo","huo","huo","hwo","huoo","huoh"
"ㄐㄧ","chi","ji","ji","ji","ji","ji","jyi","jii","jih"
"ㄐㄧㄚ","chia","jia","jya","jia","jia","jia","jya","jea","jiah"
"ㄐㄧㄢ","chien","jian","jyan","jian","jian","jian","jyan","jean","jiann"
"ㄐㄧㄤ","chiang","jiang","jyang","jiang","jiang","jiang","jyang","jeang","jianq"
"ㄐㄧㄠ","chiao","jiau","jyau","jiao","jiao","jiau","jyau","jeau","jiaw"
"ㄐㄧㄝ","chieh","jie","jye","jie","jie","jie","jye","jiee","jieh"
"ㄐㄧㄣ","chin","jin","jin","jin","jin","jin","jyn","jiin","jinn"
"ㄐㄧㄥ","ching","jing","jing","jing","jing","jing","jyng","jiing","jinq"
"ㄐㄩㄥ","chiung","jiung","jyung","jyong","jiong","jiong","jyong","jeong","jionq"
"ㄐㄧㄡ","chiu","jiou","jyou","jiou","jiu","jiou","jyou","jeou","jiow"
"ㄐㄩ","chü","jiu","jyu","jyu","ju","jiu","jyu","jeu","jiuh"
"ㄐㄩㄢ","chüan","jiuan","jywan","jyuan","juan","jiuan","jyuan","jeuan","jiuann"
"ㄐㄩㄝ","chüeh","jiue","jywe","jyue","jue","jiue","jyue","jeue","jiueh"
"ㄐㄩㄣ","chün","jiun","jyun","jyun","jun","jiun","jyun","jeun","jiunn"
"ㄎㄚ","k`a","ka","ka","ka","ka","ka","kar","kaa","kah"
"ㄎㄞ","k`ai","kai","kai","kai","kai","kai","kair","kae","kay"
"ㄎㄢ","k`an","kan","kan","kan","kan","kan","karn","kaan","kann"
"ㄎㄤ","k`ang","kang","kang","kang","kang","kang","karng","kaang","kanq"
"ㄎㄠ","k`ao","kau","kau","kao","kao","kau","kaur","kao","kaw"
"ㄎㄜ","k`o","ke","ke","ke","ke","ke","ker","kee","keh"
"ㄎㄣ","k`en","ken","ken","ken","ken","ken","kern","keen","kenn"
"ㄎㄥ","k`eng","keng","keng","keng","keng","keng","kerng","keeng","kenq"
"ㄎㄨㄥ","k`ung","kung","kung","kong","kong","kong","korng","koong","konq"
"ㄎㄡ","k`ou","kou","kou","kou","kou","kou","kour","koou","kow"
"ㄎㄨ","k`u","ku","ku","ku","ku","ku","kwu","kuu","kuh"
"ㄎㄨㄚ","k`ua","kua","kwa","kua","kua","kua","kwa","koa","kuah"
"ㄎㄨㄞ","k`uai","kuai","kwai","kuai","kuai","kuai","kwai","koai","kuay"
"ㄎㄨㄢ","k`uan","kuan","kwan","kuan","kuan","kuan","kwan","koan","kuann"
"ㄎㄨㄤ","k`uang","kuang","kwang","kuang","kuang","kuang","kwang","koang","kuanq"
"ㄎㄨㄟ","k`uei","kuei","kwei","kuei","kui","kuei","kwei","koei","kuey"
"ㄎㄨㄣ","k`un","kuen","kwen","kun","kun","kuen","kwen","koen","kuenn"
"ㄎㄨㄛ","k`uo","kuo","kwo","kuo","kuo","kuo","kwo","kuoo","kuoh"
"ㄌㄚ","la","la","la","la","la","lha","la","laa","lah"
"ㄌㄞ","lai","lai","lai","lai","lai","lhai","lai","lae","lay"
"ㄌㄢ","lan","lan","lan","lan","lan","lhan","lan","laan","lann"
"ㄌㄤ","lang","lang","lang","lang","lang","lhang","lang","laang","lanq"
"ㄌㄠ","lao","lau","lau","lao","lao","lhau","lau","lao","law"
"ㄌㄜ","le","le","le","le","le","lhe","le","lee","leh"
"ㄌㄟ","lei","lei","lei","lei","lei","lhei","lei","leei","ley"
"ㄌㄥ","leng","leng","leng","leng","leng","lheng","leng","leeng","lenq"
"ㄌㄧ","li","li","li","li","li","lhi","li","lii","lih"
"ㄌㄧㄚ","lia","lia","lya","lia","lia","lhia","lia","lea","liah"
"ㄌㄧㄢ","lien","lian","lyan","lian","lian","lhian","lian","lean","liann"
"ㄌㄧㄤ","liang","liang","lyang","liang","liang","lhiang","liang","leang","lianq"
"ㄌㄧㄠ","liao","liau","lyau","liao","liao","lhiau","liau","leau","liaw"
"ㄌㄧㄝ","lieh","lie","lye","lie","lie","lhie","lie","liee","lieh"
"ㄌㄧㄣ","lin","lin","lin","lin","lin","lhin","lin","liin","linn"
"ㄌㄧㄥ","ling","ling","ling","ling","ling","lhing","ling","liing","linq"
"ㄌㄧㄡ","liu","liou","lyou","liou","liu","lhiou","liou","leou","liow"
"ㄌㄨㄥ","lung","lung","lung","long","long","lhong","long","loong","lonq"
"ㄌㄡ","lou","lou","lou","lou","lou","lhou","lou","loou","low"
"ㄌㄨ","lu","lu","lu","lu","lu","lhu","lu","luu","luh"
"ㄌㄨㄢ","luan","luan","lwan","luan","luan","lhuan","luan","loan","luann"
"ㄌㄨㄣ","lun","luen","lwun","lun","lun","lhuen","luen","loen","luenn"
"ㄌㄨㄛ","lo","luo","lwo","luo","luo","lhuo","luo","luoo","luoh"
"ㄌㄩ","lü","liu","lyu","lyu","lü","lhiu","liu","leu","liuh"
"ㄌㄩㄝ","lüeh","liue","lywe","lyue","lüe","lhiue","liue","leue","liueh"
"ㄌㄩㄣ","lün","liun","lyun","lyun","lün","lhiun","liun","leun","liunn"
"ㄇㄚ","ma","ma","ma","ma","ma","mha","ma","maa","mah"
"ㄇㄞ","mai","mai","mai","mai","mai","mhai","mai","mae","may"
"ㄇㄢ","man","man","man","man","man","mhan","man","maan","mann"
"ㄇㄤ","mang","mang","mang","mang","mang","mhang","mang","maang","manq"
"ㄇㄠ","mao","mau","mau","mao","mao","mhau","mau","mao","maw"
"ㄇㄜ","me","me","me","me","me","me","mer","mee","meh"
"ㄇㄟ","mei","mei","mei","mei","mei","mhei","mei","meei","mey"
"ㄇㄣ","men","men","men","men","men","mhen","men","meen","menn"
"ㄇㄥ","meng","meng","meng","meng","meng","mheng","meng","meeng","menq"
"ㄇㄧ","mi","mi","mi","mi","mi","mhi","mi","mii","mih"
"ㄇㄧㄢ","mien","mian","myan","mian","mian","mhian","mian","mean","miann"
"ㄇㄧㄠ","miao","miau","myau","miao","miao","mhiau","miau","meau","miaw"
"ㄇㄧㄝ","mieh","mie","mye","mie","mie","mhie","mie","miee","mieh"
"ㄇㄧㄣ","min","min","min","min","min","mhin","min","miin","minn"
"ㄇㄧㄥ","ming","ming","ming","ming","ming","mhing","ming","miing","minq"
"ㄇㄧㄡ","miu","miou","myou","miou","miu","mhiou","miou","meou","miow"
"ㄇㄛ","mo","mo","mwo","mo","mo","mho","mo","moo","moh"
